Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
31,BENGALURU URBAN,"M/s Sringar Switch  Gears ,","
D- 388, Peenya industrial Estate, 1st Cross, 1st Stage,  Bangalore – 560058",International Organization for Standardization," 66,000 ",2015-16,
32,BENGALURU URBAN,"M/s Kamati Green Tech LLP, ","
No.588, 13th Main, 15th Cross, LR Puram, Bangalore-84.

",International Organization for Standardization," 75,000 ",2015-16,
33,BENGALURU URBAN,"M/s P.M Tools and Components, ","
No. 47, BKM Complex, Renukamba Nagar, Chuncheghatta, Bangalore-  62.
",International Organization for Standardization," 50,700 ",2015-16,
34,BENGALURU URBAN,M/s Aqtronics Technologies Pvt. Ltd. ,"No. 78/1, 3rd Cross, Gavipuram Extension, 
 Bangalore-19  
",International Organization for Standardization," 71,600 ",2015-16,
35,BENGALURU URBAN,"M/s Irontech Engineering, ","
No. 26, Nadakerappa Indl. Estate, Peenya 2nd Stage, Bangalore-91




",International Organization for Standardization," 55,200 ",2015-16,
36,BENGALURU URBAN,"M/s Axis Technologies, ","
No. 17 D (B), 1st Main, 2nd Phase, Peenya Indl. Area, Bangalore-58.


",International Organization for Standardization," 58,000 ",2015-16,
37,KOLAR,"M/s Murali & Co, ","No. 1, Kadripura, Kolar Taluk, Kolar District -563101.",International Organization for Standardization," 75,000 ",2015-16,
38,BENGALURU URBAN,"M/s Storage Technologies and Automation Pvt. Ltd., ","No. 2, Survey No.    55/P-25, Bellahalli Village, Yelahanka Post, Bangalore- 64.",International Organization for Standardization," 73,500 ",2015-16,
39,BENGALURU URBAN,"M/s Mukesh Restyles Pvt. Ltd., ","No. 1, 7th Cross, Pipeline Road, New Guddadahalli, Mysore Road, Bangalroe-26.",International Organization for Standardization," 37,900 ",2015-16,
40,TUMAKURU,"M/s Sai Ganesh Packaging,  Special Plot,","No. 2, KSSIDC, Indl. Estate, Hirehalli, Tumkur -572168",International Organization for Standardization," 74,900 ",2015-16,
41,MYSURU,"M/s Balaji Autotech Pvt. Ltd., ","Plot No. 23, 3rd Phase, Koorgalli Indl. Area, Mysore-570 018.",International Organization for Standardization," 75,000 ",2015-16,
42,BENGALURU URBAN,"M/s India Labels, ","No. 32, 4th E Cross, Magadi Road, Vrishabhavathi Nagar, Kamakshipalya, Bangalore-79




",International Organization for Standardization," 75,000 ",2015-16,
43,BENGALURU URBAN,"M/s G.B. Innovative Technical Solutions (P) Ltd., ","No. 3, Amarjyothinagar, Nagarbhavi Road, Bangalore-40.",International Organization for Standardization," 73,000 ",2015-16,
44,SHIVAMOGGA,"M/s Chandrakanth Enterprises, ","Plot No. 2G, Mandli-Kallur Indl. Area, Shimoga District.",International Organization for Standardization," 75,000 ",2015-16,
45,BENGALURU URBAN,"M/s Therelek Engineers Pvt. Ltd., ","No. 70-71,  3rd Phase, Peenya Indl.  Area, Bangalore-58.",International Organization for Standardization," 53,200 ",2015-16,
46,BIDAR,"M/s Cellulose Solutions, Pvt. Ltd., ","Sy No. 169, Mannahalli, Village,  Bidar.",International Organization for Standardization," 62,880 ",2015-16,
47,SHIVAMOGGA,"M/s. Smiths &Founders India Ltd., ","No. 12, &N - 13, Industrial Estate, Sagar Road, Shivamogga -577 204.",International Organization for Standardization," 75,000 ",2016-17,
48,KOPPAL,"M/s. Srinivasa agro Rice Industries, ","Sy. No. 107/3, Venkatagiri, Gangavathi Tq, Koppala Dist .",International Organization for Standardization," 75,000 ",2016-17,
49,Belagavi,"M/s. Grihalaxmi Metal Industries, ","Plot No: 15, B -6, RS No. 336/1, BEMCIL Industrial Estate, Udayambag, Belagavi - 590008..",International Organization for Standardization," 75,000 ",2016-17,
50,DAKSHINA KANNADA,"M/s. DSAJ Precisions Pvt. Ltd., ","No. 24-11, 1170/1, Second floor, Mangalore -575 002.",International Organization for Standardization," 48,990 ",2016-17,
51,TUMAKURU,"M/s. Spiroo Food Products ,","Honnenahalli, Gulur Hobli, Tumkur ",International Organization for Standardization," 78,770 ",2016-17,
52,UTTARA KANNADA,"M/s. Sunshine Sealing Industries,","Plot No. T1, T2 & T3 KSSIDC Industrial state, Shirwad - Karwara,  Uttara Kannada.",International Organization for Standardization," 73,360 ",2016-17,
53,SHIVAMOGGA,"M/s. Bhuvan Industries ,","Plot No. 13 & 14, Mandli Industrial Area, Shivamogga",International Organization for Standardization," 51,000 ",2016-17,
54,DAKSHINA KANNADA,"M/s. Shiva Darshan Agro Industries, ","Hansagir Kuvettu Village, Guruvayankere, Mangalore, Dakishna Kannada Dist.",International Organization for Standardization," 75,000 ",2016-17,
55,Belagavi,"M/s. Amit Ferro Cast , ","Sy. No. 608/ 2 & 608/3, Machhe Industrial Estate, Machhe, Belgaum",International Organization for Standardization," 75,000 ",2016-17,
56,MYSURU,"M/s. Essar Engineering Industries, ","D -64, Yadavagiri Industrial Estate, Mysore",International Organization for Standardization," 75,000 ",2016-17,
57,BENGALURU URBAN,"M/s Genius India,                      ","No 06,17th Cross, DIE Main Road, Peenya  2nd stage, Bangalore - 560091                                 ",International Organization for Standardization," 25,280 ",2016-17,
58,BENGALURU URBAN,"M/s Sun Shine Technologies,         ","No: 84, 3rd Cross, Saibabanagar,  Sri Rampura, Bangalore   - 560021                   ",International Organization for Standardization," 50,560 ",2016-17,
59,BENGALURU URBAN,M/s Metal impacts          ,"No B - 149, 2nd Stage, 5th main, Peenya Industrial Estate,                  Bangalore - 560058                                 ",International Organization for Standardization," 29,490 ",2016-17,
