Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Company_ID
2023-07-19 00:00:00+05:30,110.19999694824219,115.70999908447266,110.19999694824219,115.70999908447266,908000,0.0,0.0,0.0,543939
2023-07-20 00:00:00+05:30,121.48999786376953,121.48999786376953,121.48999786376953,121.48999786376953,202000,0.0,0.0,0.0,543939
2023-07-21 00:00:00+05:30,119.0,127.55999755859375,116.0,127.55999755859375,1718000,0.0,0.0,0.0,543939
2023-07-24 00:00:00+05:30,133.92999267578125,133.92999267578125,133.92999267578125,133.92999267578125,98000,0.0,0.0,0.0,543939
2023-07-25 00:00:00+05:30,140.6199951171875,140.6199951171875,140.6199951171875,140.6199951171875,98000,0.0,0.0,0.0,543939
2023-07-26 00:00:00+05:30,146.89999389648438,146.89999389648438,135.1999969482422,141.91000366210938,650000,0.0,0.0,0.0,543939
2023-07-27 00:00:00+05:30,142.0,142.0,134.89999389648438,139.02999877929688,190000,0.0,0.0,0.0,543939
2023-07-28 00:00:00+05:30,139.0,145.97999572753906,136.0,145.97999572753906,148000,0.0,0.0,0.0,543939
2023-07-31 00:00:00+05:30,152.27000427246094,153.27000427246094,150.0,153.27000427246094,274000,0.0,0.0,0.0,543939
2023-08-01 00:00:00+05:30,153.1999969482422,160.89999389648438,151.0,160.89999389648438,140000,0.0,0.0,0.0,543939
2023-08-02 00:00:00+05:30,163.0,173.39999389648438,152.0,154.75,454000,0.0,0.0,0.0,543939
2023-08-03 00:00:00+05:30,156.0,177.5,156.0,171.0500030517578,608000,0.0,0.0,0.0,543939
2023-08-04 00:00:00+05:30,174.0,178.5,165.1999969482422,168.9499969482422,138000,0.0,0.0,0.0,543939
2023-08-07 00:00:00+05:30,175.0,175.0,163.0,164.10000610351562,76000,0.0,0.0,0.0,543939
2023-08-08 00:00:00+05:30,160.0,164.0,149.0,155.4499969482422,212000,0.0,0.0,0.0,543939
2023-08-09 00:00:00+05:30,151.0,156.0,148.0,153.25,90000,0.0,0.0,0.0,543939
2023-08-10 00:00:00+05:30,153.0,156.4499969482422,148.0,149.25,62000,0.0,0.0,0.0,543939
2023-08-11 00:00:00+05:30,152.0,152.0,148.0,149.9499969482422,56000,0.0,0.0,0.0,543939
2023-08-14 00:00:00+05:30,151.9499969482422,159.8000030517578,151.3000030517578,158.35000610351562,114000,0.0,0.0,0.0,543939
2023-08-16 00:00:00+05:30,158.35000610351562,164.0,157.0,162.89999389648438,72000,0.0,0.0,0.0,543939
2023-08-17 00:00:00+05:30,163.0,166.9499969482422,158.14999389648438,159.0,52000,0.0,0.0,0.0,543939
2023-08-18 00:00:00+05:30,163.0,163.0,153.25,157.0500030517578,58000,0.0,0.0,0.0,543939
2023-08-21 00:00:00+05:30,161.6999969482422,161.6999969482422,156.39999389648438,159.8000030517578,36000,0.0,0.0,0.0,543939
2023-08-22 00:00:00+05:30,161.39999389648438,162.0,160.0500030517578,161.25,56000,0.0,0.0,0.0,543939
2023-08-23 00:00:00+05:30,164.14999389648438,167.0,163.5,165.4499969482422,94000,0.0,0.0,0.0,543939
2023-08-24 00:00:00+05:30,166.9499969482422,170.0,165.1999969482422,167.9499969482422,78000,0.0,0.0,0.0,543939
2023-08-25 00:00:00+05:30,169.89999389648438,169.89999389648438,160.0500030517578,162.89999389648438,36000,0.0,0.0,0.0,543939
2023-08-28 00:00:00+05:30,165.0,175.0,165.0,169.89999389648438,106000,0.0,0.0,0.0,543939
2023-08-29 00:00:00+05:30,173.0,177.0,166.5,169.85000610351562,42000,0.0,0.0,0.0,543939
2023-08-30 00:00:00+05:30,164.14999389648438,169.89999389648438,164.14999389648438,166.75,22000,0.0,0.0,0.0,543939
2023-08-31 00:00:00+05:30,166.75,172.0,166.0,170.60000610351562,50000,0.0,0.0,0.0,543939
2023-09-01 00:00:00+05:30,172.0,204.6999969482422,170.0,201.39999389648438,644000,0.0,0.0,0.0,543939
